"['song_name', 'performer_name', 'album_name', 'song_share_url']"
A Million Metaphores,Scarred By Beauty,We Swim,https://www.musixmatch.com/lyrics/Scarred-By-Beauty/A-Million-Metaphores?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Open Up and Say Oblina,Bunnygrunt,Action Pants!,https://www.musixmatch.com/lyrics/Bunnygrunt/Open-Up-and-Say-Oblina?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Water,Animal Liberation Orchestra,Roses & Clover,https://www.musixmatch.com/lyrics/Animal-Liberation-Orchestra/Water?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
To Be in Love,Deadlock,I'll Wake You When Spring Awakes,https://www.musixmatch.com/lyrics/Deadlock/To-Be-in-Love?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
I've Come With Water,Bumblebeez,White Printz,https://www.musixmatch.com/lyrics/Bumblebeez/I-ve-Come-With-Water?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
"History's Mysteries - Joledo: Man, Myth, or Legend",Every Bridge Burned,Aun Aprendo,https://www.musixmatch.com/lyrics/Every-Bridge-Burned/History-s-Mysteries-Joledo-Man-Myth-or-Legend?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
"Beware, Beware",Gatsbys American Dream,Why We Fight,https://www.musixmatch.com/lyrics/Gatsbys-American-Dream/Beware-Beware?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Snowball Fight,Weekend Nachos,Torture,https://www.musixmatch.com/lyrics/Weekend-Nachos/Snowball-Fight?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Stay Out of the Water,Leucine,Step One: Proceed,https://www.musixmatch.com/lyrics/Leucine/Stay-Out-of-the-Water?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Rain Of Death,Hanker,In Our World Revisited,https://www.musixmatch.com/lyrics/Hanker/Rain-Of-Death?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
When Entropy Decreases,V:28,VioLution,https://www.musixmatch.com/lyrics/V-28/When-Entropy-Decreases?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Hummingbird Blues,Phoenix and the Turtle,Asleep In America,https://www.musixmatch.com/lyrics/Phoenix-and-the-Turtle/Hummingbird-Blues?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Iron Coffins,Operation Winter Mist,Winter Warfare II,https://www.musixmatch.com/lyrics/Operation-Winter-Mist/Iron-Coffins?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Real Down Life,BAGDAD CAFE THE trench town,Love sunset,https://www.musixmatch.com/lyrics/BAGDAD-CAFE-THE-trench-town/Real-Down-Life?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Days of Darkness,Astrofaes,The Eyes of the Beast,https://www.musixmatch.com/lyrics/Astrofaes/Days-of-Darkness?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Horse to Stable,A Northern Chorus,The Millions Too Many,https://www.musixmatch.com/lyrics/A-Northern-Chorus/Horse-to-Stable?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Ignite,Echocast,Where The Future Ends,https://www.musixmatch.com/lyrics/Echocast/Ignite?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Water Song,Boo Hewerdine,Thanksgiving,https://www.musixmatch.com/lyrics/Boo-Hewerdine/Water-Song?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
"Human Body, Anchor",The Bright Star Alliance,Oceania,https://www.musixmatch.com/lyrics/The-Bright-Star-Alliance/Human-Body-Anchor?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Castles,Rah Rah,Going Steady,https://www.musixmatch.com/lyrics/Rah-Rah/Castles?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Garlic Breakfast,Trap Them,Sleepwell Deconstructor,https://www.musixmatch.com/lyrics/Trap-Them/Garlic-Breakfast?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Planet of the Dead,No Redeeming Social Value,Rocks the Party,https://www.musixmatch.com/lyrics/No-Redeeming-Social-Value/Planet-of-the-Dead?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
Poisoned,Morgain,Frostbitten Nakedness,https://www.musixmatch.com/lyrics/Morgain/Poisoned?utm_source=application&utm_campaign=api&utm_medium=test%3A1409623119270
@@@
